royalazyn#0,Explorer,0,
gewahua#0,Explorer,1,
thepandasfriends#0,Explorer,1,
streamoustache#0,Explorer,1,
adrien7959#0,Explorer,1,
surimi_i#0,Explorer,1,
7idge#0,Explorer,1,
knockoutjoe#0,Explorer,1,
fragnard#0,Explorer,0,
fiji12415#0,Explorer,1,
tasmed#0,Explorer,1,
f4lsebbert#0,Explorer,1,
mudkipnerd#0,Explorer,1,
imchuge#0,Explorer,1,
zenordd#0,Explorer,1,
gduflo#0,Explorer,1,
raptortp#0,Explorer,1,
deathvrc#0,Explorer,1,
gamesportguy#0,Explorer,1,
noft#0,Explorer,0,
xman303#0,Explorer,0,
suezo42069#0,Explorer,1,
cherrifaerie#0,Explorer,1,
auroraneclipse#0,Explorer,1,
elite_drift#0,Explorer,1,
ellendegenerate2525#0,Explorer,1,
radioinactive#0,Explorer,0,
josuef4262#0,Explorer,0,
meemix#0,Explorer,1,
stairs_smoke#0,Explorer,1,
lokipoop_#0,Explorer,0,
mulberryyyy#0,Explorer,1,
pklemon#0,Explorer,0,
djspicydeluxe#0,Explorer,1,
fullmast#0,Explorer,1,
austin_tacious#0,Explorer,0,
cennge#0,Explorer,2,
sairelle#0,Explorer,1,
blitzhen#0,Explorer,0,
veronjca#0,Explorer,1,
sushinap#0,Explorer,1,
__arca#0,Explorer,1,
adventinator#0,Explorer,1,
w0lven#0,Explorer,1,
herofactory#0,Explorer,1,
mr._mojo_risin#0,Explorer,0,
koublibo#0,Explorer,1,
acgamer28#0,Explorer,1,
supero8487#0,Explorer,1,
icandoodle#0,Explorer,1,
degatsuyu0612#0,Explorer,1,
bourbonjr#0,Explorer,1,
soniere_#0,Explorer,0,
._daphne_.#0,Explorer,1,
sorryssb#0,Explorer,0,
pode9750#0,Explorer,1,
kwilly#0,Explorer,1,
27nickels#0,Explorer,0,
emanon#0,Explorer,1,
rckiis#0,Explorer,1,
goodpepito#0,Explorer,1,
godtryhard#0,Explorer,0,
suwan31#0,Explorer,1,
quancheese2019#0,Explorer,0,
berylthegoblin_01372#0,Explorer,1,
largemarge#0,Explorer,1,
tsunamii__#0,Explorer,1,
colinnoli.6#0,Explorer,1,
helldraco#0,Explorer,1,
comphe_couch#0,Explorer,1,
jettssb#0,Explorer,0,
lampshady53#0,Explorer,1,
ninjaoshawott14#0,Explorer,0,
invisible111154#0,Explorer,1,
ioye#0,Explorer,1,
brennen.eth#0,Champion,1,
thebower#0,Explorer,1,
firstframes#0,Explorer,1,
el_chido007#0,Explorer,1,
king_raichu#0,Explorer,2,
wagr0#0,Explorer,2,
brisketo7#0,Explorer,1,
gadgetlab#0,Explorer,1,
moonbather#0,Explorer,1,
kittiese#0,Explorer,1,
spinax10#0,Explorer,1,
tortaal#0,Explorer,1,
rikunoimanity#0,Explorer,0,
blouyh#0,Explorer,1,
neeve_amx#0,Explorer,1,
tacocat0110#0,Explorer,0,
maktyum#0,Explorer,1,
gunmetal51591#0,Explorer,1,
loudman0803#0,Explorer,1,
monitor#0,Explorer,1,
_odie#0,Explorer,1,
.pointless.#0,Explorer,1,
takeyourtime4999#0,Explorer,1,
kathlyyn#0,Explorer,1,
tigerquasar#0,Explorer,1,
letsgolk#0,Explorer,1,
ledindonbarbare#0,Explorer,1,
art_abs#0,Explorer,1,
dr_roob#0,Explorer,1,
albert999999#0,Explorer,1,
chrisssssssssssssssssssss#0,Explorer,1,
.abussos#0,Explorer,0,
hqtf#0,Explorer,2,
onter#0,Champion,1,
matttaylorlol#0,Challenger,4,
pragmatwit#0,Explorer,0,
d3ash#0,Explorer,1,
mewwy#0,Explorer,0,
twotoestoto#0,Explorer,1,
gabedudly#0,Explorer,1,
mikadal93#0,Explorer,0,
kretky#0,Explorer,1,
2krunkvillain#0,Explorer,0,
bruno._2#0,Explorer,1,
lordbabat#0,Explorer,1,
maxime00830#0,Explorer,1,
kensai5495#0,Explorer,0,
parkerpyrope#0,Explorer,1,
dad08511#0,Explorer,1,
olipop8946#0,Explorer,0,
bullfrogging#0,Explorer,1,
snooby._.#0,Explorer,1,
sammyg123#0,Explorer,1,
kawaiipicckle#0,Explorer,0,
lightssb#0,Explorer,1,
uungwo#0,Explorer,1,
darkknight119.#0,Explorer,1,
kamuwu5086#0,Explorer,1,
krustykrab__#0,Explorer,1,
murphboneman#0,Explorer,1,
adventinator8882#0,Explorer,1,
gast0n#0,Explorer,1,
jerico#0,Explorer,1,
elfilin_#0,Explorer,0,
krsavage#0,Explorer,1,
adagiohno#0,Explorer,1,
jenks6797#0,Explorer,1,
lylatwolf#0,Explorer,1,
cg1239291#0,Explorer,1,
liloo__#0,Explorer,0,
otto_ssbm#0,Champion,1,
pippysippy#0,Explorer,1,
eusou.jp#0,Explorer,1,
anaconda_soc#0,Explorer,1,
rosesforrei#0,Explorer,1,
justin_joe#0,Explorer,1,
0p3n1ng#0,Explorer,1,
zenozabatsu#0,Explorer,1,
nsnotbrayden#0,Explorer,1,
knuxbuddy#0,Explorer,1,
trigazelli#0,Explorer,1,
sotterkan#0,Explorer,1,
rom1x#0,Explorer,1,
fantominusspl#0,Explorer,1,
chorus_dawn#0,Explorer,1,
babino#0,Explorer,1,
stellarflares#0,Explorer,1,
maze3294#0,Explorer,1,
alexandre1992#0,Explorer,1,
pouty59#0,Explorer,1,
.jaydyn#0,Explorer,1,
emilia091686#0,Explorer,1,
alfoam#0,Explorer,1,
4_52_62354_234523#0,Explorer,1,
